date;year;month;rain;solarrad;meantemp;relumid;windvel;maxtemp_abs;maxtemp_mean;maxtemp_mean_abs;mintemp_abs;mintemp_mean;mintemp_mean_abs;windmaxvel_abs;windmaxvel_mean;windmaxvel_mean_abs;
31/10/2019;2019;10;122,6;383,394;22,301;67,438;2,87;35,5;22,954;35,5;11;21,824;11;12,3;4,736;67,438;12,3
30/11/2019;2019;11;173,2;418,029;22,447;73,355;2,437;32,8;23,084;32,8;13,7;22,003;13,7;7,4;4,158;73,355;7,4
31/12/2019;2019;12;123,2;419,384;22,015;75,654;2,209;34,2;22,648;34,2;11;21,57;11;9,1;3,851;75,654;9,1
31/01/2020;2020;1;155,4;372,052;22,949;79,45;1,876;33,6;23,59;33,6;14,7;22,497;14,7;8,8;3,442;79,45;8,8
29/02/2020;2020;2;122,8;425,003;22,805;71,076;2,397;35,2;23,464;35,2;11,6;22,332;11,6;7,7;4,156;71,076;7,7
31/03/2020;2020;3;65,8;448,004;22,329;66,304;2,31;34,4;23,004;34,4;13,2;21,826;13,2;6,9;3,813;66,304;6,9
30/04/2020;2020;4;46,2;414,585;18,295;67,339;2,443;31,4;18,931;31,4;4,2;17,831;4,2;6,8;3,961;67,339;6,8
31/05/2020;2020;5;158;305,749;15,027;74,569;2,15;28,2;15,638;28,2;3;14,589;3;6,8;3,661;74,569;6,8
30/06/2020;2020;6;268,2;230,159;16,502;83,637;2,127;27,3;17,079;27,3;6,2;16,13;6,2;10,3;3,886;83,637;10,3
31/07/2020;2020;7;72,4;277,238;15,105;75,693;1,363;27,4;15,706;27,4;1,9;14,69;1,9;7,5;2,961;75,693;7,5
31/08/2020;2020;8;133,8;340,605;16,82;69,518;1,682;30,6;17,437;30,6;0,7;16,396;0,7;7,1;3,333;69,518;7,1
30/09/2020;2020;9;28,4;363,179;21,173;65,231;1,481;35,7;21,811;35,7;10,3;20,726;10,3;7,2;3,173;65,231;7,2
31/10/2020;2020;10;47,4;420,993;21,936;64,274;0,979;37,1;22,62;37,1;9,5;21,445;9,5;6,4;2,564;64,274;6,4
30/11/2020;2020;11;62,2;422,671;21,407;64,417;1,204;35,7;22,124;35,7;9;20,887;9;9,9;2,996;64,417;9,9
31/12/2020;2020;12;203,2;414,182;22,569;76,71;1,211;32,2;23,254;32,2;14,6;22,104;14,6;9,3;2,781;76,71;9,3
31/01/2021;2021;1;395,8;310,404;21,986;87,975;1,596;32;22,632;32;15,8;21,59;15,8;6,7;3,357;87,975;6,7
28/02/2021;2021;2;22,4;445,83;22,058;71,76;1,711;33,2;22,652;33,2;11,9;21,593;11,9;7,5;3,484;71,76;7,5
31/03/2021;2021;3;20,6;288,571;21,8;81,84;1,313;33,2;22,304;33,2;14,8;21,397;14,8;5,4;3,031;81,84;5,4
30/04/2021;2021;4;3;345,123;19,127;68,324;0,748;30,4;19,669;30,4;8,2;18,67;8,2;5,6;1,93;68,324;5,6
31/05/2021;2021;5;44,6;327,205;15,946;72,011;0,958;29,9;16,488;29,9;3,4;15,496;3,4;9,2;2,19;72,011;9,2
30/06/2021;2021;6;17,6;239,157;14,466;80,39;0,611;24,2;14,923;24,2;4,1;14,094;4,1;5,1;1,96;80,39;5,1
31/07/2021;2021;7;44,8;304,715;13,463;62,696;1,46;29,2;14,093;29,2;-2,6;12,995;-2,6;7,5;2,969;62,696;7,5
31/08/2021;2021;8;42,4;322,698;17,997;65,997;1,535;32;18,604;32;6,5;17,568;6,5;7,9;3,333;65,997;7,9
30/09/2021;2021;9;171,8;350,236;20,165;70,791;1,663;33,7;20,777;33,7;5,4;19,737;5,4;7,5;3,585;70,791;7,5
31/10/2021;2021;10;294,8;278,527;19,054;77,928;1,8;30,2;19,654;30,2;9,9;18,634;9,9;8,3;3,813;77,928;8,3
30/11/2021;2021;11;100;520,295;22,092;69,43;1,938;33,1;22,733;33,1;12;21,61;12;11,1;3,58;69,43;11,1
31/12/2021;2021;12;12,2;549,6;23,977;60,231;2,548;35,1;24,632;35,1;12,6;23,453;12,6;7,3;4,348;60,231;7,3
31/01/2022;2022;1;115,2;433,454;23,873;71,936;2,297;37;24,435;37;15,4;23,402;15,4;8,4;4,047;71,936;8,4
28/02/2022;2022;2;117,6;515,824;23,687;67,38;2,47;34,5;24,264;34,5;11,6;23,198;11,6;8,3;4,185;67,38;8,3
31/03/2022;2022;3;400,6;394,76;21,386;83,557;2,339;32,8;21,884;32,8;10,1;20,982;10,1;8;3,99;83,557;8
30/04/2022;2022;4;276,4;340,067;18,828;82,158;2,229;30;19,309;30;7,7;18,436;7,7;7,5;3,697;82,158;7,5
31/05/2022;2022;5;236,8;271,785;14,539;84,224;2,136;26,3;15,006;26,3;4,5;14,163;4,5;6,1;3,626;84,224;6,1
30/06/2022;2022;6;155,8;291,531;14,517;81,236;2,13;26,4;14,995;26,4;-1;14,126;-1;7,3;3,597;81,236;7,3
31/07/2022;2022;7;68,6;353,39;17,504;70,691;2,365;27,3;18,009;27,3;2,2;17,074;2,2;9;4,069;70,691;9
31/08/2022;2022;8;267;359,987;15,051;74,525;2,471;28,6;15,538;28,6;1,3;14,651;1,3;7,7;4,175;74,525;7,7
30/09/2022;2022;9;230,8;325,24;15,628;79,014;2,327;29,3;16,098;29,3;3,8;15,254;3,8;7,4;3,954;79,014;7,4
31/10/2022;2022;10;524;386,931;18,533;78,917;2,43;31,1;19,03;31,1;7,6;18,126;7,6;10,9;4,13;78,917;10,9
30/11/2022;2022;11;130,8;531,202;19,635;63,071;2,36;31,2;20,188;31,2;5;19,167;5;10,1;4,08;63,071;10,1
31/12/2022;2022;12;113,6;523,739;22,444;74,006;1,311;32,5;23,012;32,5;12,7;21,96;12,7;5,6;2,373;74,006;5,6
31/01/2023;2023;1;196,4;499,771;22,408;77,303;1,247;33,3;22,949;33,3;13,2;21,95;13,2;6,8;2,309;77,303;6,8
28/02/2023;2023;2;126,4;400,599;21,284;80,855;1,377;31,9;21,817;31,9;10;20,839;10;6,8;2,529;80,855;6,8
31/03/2023;2023;3;112;438,192;22,528;78,982;1,67;32,3;23,065;32,3;14;22,079;14;6,1;2,953;78,982;6,1
30/04/2023;2023;4;134,8;398,639;18,987;78,225;1,445;29,9;19,475;29,9;7,1;18,542;7,1;8,3;2,533;78,225;8,3
31/05/2023;2023;5;80,6;333,492;17,217;77,501;1,984;27,2;17,709;27,2;6,1;16,808;6,1;6;3,36;77,501;6
30/06/2023;2023;6;110,6;294,351;15,115;81,762;2,075;25,5;15,603;25,5;4,4;14,711;4,4;6,9;3,491;81,762;6,9
31/07/2023;2023;7;152,4;301,713;16,217;81,598;2,118;26,4;16,686;26,4;4,1;15,831;4,1;8,6;3,629;81,598;8,6
31/08/2023;2023;8;78;366,649;17,394;75,891;2,202;29,4;17,892;29,4;5,9;16,98;5,9;8,2;3,88;75,891;8,2
30/09/2023;2023;9;177,2;371,645;20,758;73,495;2,545;34,6;21,262;34,6;5,1;20,338;5,1;9,5;4,456;73,495;9,5
31/10/2023;2023;10;652,8;317,24;20,439;81,159;2,522;32,6;20,885;32,6;12,3;19,994;12,3;9,6;4,396;81,159;9,6
30/11/2023;2023;11;385,4;389,13;22,601;78,239;2,243;35,1;22,867;35,1;12,6;22,145;12,6;9;4,081;78,239;9
31/12/2023;2023;12;67,8;464,81;23,447;80,179;1,968;34,4;23,694;34,4;13,2;23,206;13,2;7,5;3,698;80,179;7,5
